Sweden,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,United Kingdom,,12280.2906023,14164.305949,19056.3623213,21165.3010008,22617.6115802,29864.2270264,27129.8490707,25606.2274345,29368.3692827,27572.0225942,25552.797015,25982.0124529
,,,Other developed Europe,,,12280.2906023,14164.305949,18082.6795749,19804.6745079,18471.0494572,19666.6860906,25414.7436697,25478.1962973,31616.6654957,33235.465073,33247.6733888,36436.3133215
,,,,Norway,,6843.2153738,8951.84135977,12796.9732376,17234.6022435,14701.4475271,16607.4238098,21672.695522,19588.7639874,24731.2583433,26379.7189144,25988.356055,29364.2862634
,,,,Switzerland,,5437.0752285,5212.46458924,5285.70633728,2570.07226438,3769.60193004,3059.26228075,3742.04814769,5889.43230994,6885.40715239,6855.74615855,7259.3173338,7072.02705819
,,North America,,,,26247.949379,25835.694051,31018.7503477,33562.1201584,32418.5765983,32486.4518385,53168.2674317,45963.1782449,52975.4795194,63937.2848264,62720.501764,67952.9556461
,,,Canada,,,1312.39746895,1813.03116147,834.58521115,1209.44577148,1507.84077201,1748.14987472,3586.12947487,2304.56046911,2669.85175297,2533.64531946,2758.54058684,2613.57521716
,,,United States,,,24935.55191,24022.6628895,30184.1651366,32352.674387,30910.7358263,30738.3019638,49582.1379568,43658.6177758,50305.6277665,61403.639507,59961.9611772,65339.3804289
,,Other developed countries,,,,2062.33887978,1586.40226629,1390.97536192,1662.98793578,1507.84077201,1748.14987472,3430.21080205,4737.15207538,5339.70350594,7004.78411851,7259.3173338,6457.06818357
,,,Australia,,,749.941410827,906.515580737,973.682746342,1209.44577148,1130.88057901,1311.11240604,1871.02407384,1792.43592042,2248.29621303,3129.79715934,2903.72693352,2152.35606119
,,,Bermuda,,,562.45605812,,..,,,,,,,,,
,,,Japan,,,749.941410827,679.886685552,417.292605575,453.542164303,376.960193004,437.037468679,1559.1867282,2944.71615497,3091.40729291,3874.98695918,4355.59040028,4304.71212238
,Developing economies,,,,,7030.70072651,7025.49577071,8484.94964669,12396.8191576,14450.1407518,19958.044423,18086.5660571,18052.3903513,24731.2583433,30403.7438336,32086.1826154,35513.8750096
,,Africa,,,,937.426763534,1133.14447592,1808.26795749,2116.53010008,2513.06796336,2913.58312453,2494.69876512,2176.52933193,2529.33323965,3874.98695918,4355.59040028,4304.71212238
,,,North Africa,,,,1133.14447592,1251.87781673,1360.62649291,1256.53397668,1311.11240604,,,,,,
,,,,Morocco,,,1133.14447592,1251.87781673,1360.62649291,1256.53397668,1311.11240604,,,,,,
,,,Other Africa,,,,,,,..,728.395781132,935.512036922,896.217960208,702.592566571,1043.26571978,871.118080056,1076.17803059
,,,,South Africa,,,,,,..,728.395781132,935.512036922,896.217960208,702.592566571,1043.26571978,871.118080056,1076.17803059
,,Asia,,,,2812.2802906,2606.23231462,3755.63345018,5896.04813594,7036.5902794,11362.9742057,8419.60834229,10370.522121,14473.4068714,17288.4033563,18293.4796812,20601.1222999
,,,East Asia,,,1031.16943989,1133.14448592,1669.1704223,2418.89154295,2890.02814636,3204.94143698,3897.96682051,5505.33889842,7447.48120565,8942.2775981,9437.11253394,10146.8214313
,,,,China,,1031.16943989,1133.14447592,834.58521115,1360.62649291,1759.14756735,1893.82903094,2494.69876512,3072.74729214,4215.55539942,5365.36655886,7259.3173338,7686.98593282
,,,,"Korea, Republic of",,,..,834.58521115,1058.26505004,1130.88057901,1311.11240604,1403.26805538,2432.59160628,3231.92580622,3576.91103924,2177.79520014,2459.8354985
,,,South-East Asia,,,,,,,..,..,935.512036922,896.217960208,983.629593199,1043.26571978,1016.30442673,1076.17803059
,,,,Malaysia,,,,,,..,..,935.512036922,896.217960208,983.629593199,1043.26571978,1016.30442673,1076.17803059
,,,South Asia,,,,,,,,..,935.512036922,1280.31137173,1686.22215977,1788.45551962,1887.42250679,1998.61634253
,,,,India,,,,,,,..,935.512036922,1280.31137173,1686.22215977,1788.45551962,1887.42250679,1998.61634253
,,,West Asia,,,,..,1251.87781673,1814.16865721,1884.80096502,2913.58312453,..,..,1826.74067308,1937.49347959,1742.23616011,2306.09577984
,,,,Turkey,,,..,1251.87781673,1814.16865721,1884.80096502,2913.58312453,..,..,1826.74067308,1937.49347959,1742.23616011,2306.09577984
,,Latin America and the Caribbean,,,,3280.99367237,3286.11898017,2921.04823903,4081.87947873,4649.17571371,5244.44962415,6860.42160409,5377.30776125,7447.48120565,8793.23963814,9146.73984059,10454.3008686
,,,South America,,,2343.56690884,2379.60339943,2086.46302788,2570.07226438,1759.14756735,2185.18734339,2806.53611076,2048.49819476,3934.5183728,4322.10083908,4355.59040028,4458.45184103
,,,,Brazil,,1218.65479259,906.515580737,973.682746342,1511.80721434,1759.14756735,2185.18734339,2806.53611076,2048.49819476,3934.5183728,4322.10083908,4355.59040028,4458.45184103
,,,Central America,,,937.426763534,906.515580737,834.58521115,1360.62649291,1633.49416968,1456.79156226,1559.1867282,1536.37364607,1264.66661983,1639.41755965,1306.67712008,1844.87662388
,,,,Mexico,,937.426763534,906.515580737,834.58521115,1360.62649291,1633.49416968,1456.79156226,1559.1867282,1536.37364607,1264.66661983,1639.41755965,1306.67712008,1844.87662388
,,Oceania,,,,,,,302.361442869,251.306795336,437.037468679,311.837345641,128.031137173,281.037026628,447.113879905,290.372693352,153.739718656
,Transition economies,,,,,843.684087181,906.515580737,2225.56056307,2721.25298582,3643.94853237,4370.37468679,6548.58425845,6785.65027015,6323.33309914,7153.82207848,9291.92618726,7686.98593282
,,CIS,,,,656.198734474,1019.83002833,1808.26795749,2116.53010008,2764.37474869,4370.37468679,6548.58425845,6785.65027015,6323.33309914,7153.82207848,9291.92618726,7686.98593282
,,,Russian Federation,,,656.198734474,1019.83002833,1808.26795749,2116.53010008,2764.37474869,4370.37468679,6548.58425845,6785.65027015,6323.33309914,7153.82207848,9291.92618726,7686.98593282
,Unspecified,,,,,93.7426763534,4305.9490085,695.487675958,604.722885738,1382.18737435,1311.11240604,6236.74691281,3200.77842931,1686.22215977,2384.60735949,1451.86346676,2306.09577984
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from Statistics Sweden.",,,,,,,,,,,,,,,,,
