France,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,Other Africa,,,3704.97668967,5027.46544011,6990.70179826,7650.92078021,8051.45380353,11963.6349748,20518.1200703,20295.1515978,25798.2727201,30925.010919,31375.7912649,34627.6651889
,,,,Angola,,431.836008073,610.343113505,203.342906869,321.455813447,790.399127966,1378.8998039,5922.25549167,4685.85170608,5936.71442257,7295.65160458,7961.36930894,9066.91999156
,,,,Cameroon,,195.648150596,335.583842477,650.444702096,634.739021467,398.738664556,536.019312499,821.431410477,967.231047142,1126.54954585,1159.82153714,1185.21278839,1545.01794385
,,,,Congo,,266.151988649,620.830108582,579.71673449,1061.07660455,1238.68520054,1702.88199278,2325.91689705,2975.45320689,3486.25307028,3380.58581677,3648.79919571,3995.14460629
,,,,Côte d' Ivoire,,396.584089046,437.307694728,503.936769197,670.153644982,409.355966275,480.705280251,799.349920948,885.120785586,1159.68335602,1171.84733649,1059.70444727,1410.43909647
,,,,Gabon,,305.810397554,687.946877078,1285.73341113,1157.78576877,697.202812877,877.122511362,1255.70070455,1482.15980605,1956.33540059,1934.81749513,1728.65096648,1778.55182605
,,,,Kenya,,121.619120641,121.649142898,205.868905712,51.7598343685,15.3361024829,59.2650345515,429.852996164,229.630392487,286.679488011,263.231385733,258.780084802,315.336710999
,,,,Liberia,,129.550802422,67.1167684954,137.666936949,2.72420180887,3.53910057298,5.26800307125,7.36049650965,25.0505882713,25.9308079608,65.4737964513,87.9852288328,32.9850116107
,,,,Mali,,29.9641311724,81.7985616038,178.082918438,65.3808434129,41.2895066848,53.9970314803,91.2701567197,114.119346569,112.366834497,96.2063947856,117.744938585,121.384842727
,,,,Mauritius,,55.5217724665,329.291645431,392.792820101,314.645308924,527.325985374,557.091324784,460.767081504,683.324380068,1038.67291887,897.926351332,900.554695112,878.72070931
,,,,Nigeria,,919.193788612,704.726069202,942.197568474,1577.31284734,2163.57015028,4015.53534106,5090.51938608,5316.29151091,6775.14387997,7506.77119313,7434.75183637,7424.26641334
,,,,Senegal,,122.500418617,141.574433545,338.483844974,400.457665904,307.901749849,342.420199631,702.191367021,1622.72144024,1858.37457052,2025.67909021,1591.49752153,2099.16613891
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,South Africa,,418.616538438,439.405093743,736.328662761,798.191129999,816.352532167,1137.88866339,1311.64047802,1146.76026309,1885.74597892,1946.84329448,2067.65287757,2203.3987756
,,Asia,,,,12458.0281839,18477.0366269,20137.2627771,24079.2197886,25652.5806532,34442.2040798,46491.8401536,51851.9343229,59672.5515195,69963.4280804,81478.2034864,88201.9210471
,,,East Asia,,,4179.11500057,5044.24463223,6003.03625061,7930.15146562,9195.76298879,11743.6958466,17626.9170413,21351.4514033,24753.8373994,28705.5830842,34736.050823,38000.052776
,,,,China,,1938.85554645,2242.11954755,2697.76676442,3151.90149286,3659.42999246,5640.71428854,7847.76137859,10517.0719759,12956.7603777,15165.869178,20259.8928392,21730.5256491
,,,,"Hong Kong, China",,1123.65491896,1472.37410887,1861.66114736,2684.70088264,3284.28533173,3640.19012223,6212.25905415,7072.6160886,7606.37033516,8916.46211673,9756.00919704,11079.0056998
,,,,"Korea, Republic of",,934.175854198,1082.25789199,1194.79745278,1861.99193636,2030.2640287,2151.9792546,3154.70880404,3315.0278479,3705.2243375,4170.27997397,4277.63480178,4698.38505383
,,,,Taiwan Province of China,,182.428680961,247.493083827,248.810886045,231.557153754,221.783635907,310.812181204,412.187804541,446.735490838,485.482349043,452.971775449,442.513945012,492.136373232
,,,South-East Asia,,,4669.99797301,6647.70617957,7853.33040317,7622.31666122,6884.73031464,7979.70765217,10662.4152439,11407.7595589,12864.5619494,14915.9998516,17224.4025044,18391.1230737
