Finland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,Other developed countries,,,,348.112700385,280.894163148,61.8743416616,185.749700338,97.8207398372,94.3170099868,111.09197382,24.0833572242,0.936390287472,464.650162816,422.562000474,456.723664767
,,,Australia,,,215.036706061,157.535640053,54.1826751843,124.087392394,51.2933643044,15.0006387454,23.656635782,-45.6059876473,-83.2522995585,365.116630211,414.759780917,490.473928647
,,,Bermuda,,,,,,,-46.9166765958,-6.72328891968,2.21550944941,-1.76049967573,29.5755270797,,,
,,,Japan,,,111.043544933,100.423464861,-14.246633475,33.0581889506,42.8231169331,35.5721907386,36.6405516251,39.6773484231,-20.6005863244,21.6865248246,-70.4140610747,-77.6599113363
,,,New Zealand,,,22.0324493915,22.9350582343,21.9382999523,28.6041189931,50.6209351955,50.4674694225,48.5792769637,31.7724961241,75.2137490906,77.8470077807,78.2162806315,43.9096474562
,Developing economies,,,,,2491.42937719,2695.38844878,3041.93410679,4135.52903999,4861.67425411,5881.35666883,6204.9868836,6557.21415191,8492.29638913,12203.5673866,10535.1442764,7997.13690099
,,Africa,,,,90.7736914928,76.0412013063,37.043773034,31.7778141005,28.8082786641,39.9182932724,78.8603596044,99.0889936065,82.5608113462,119.269205536,137.813334161,170.915136162
,,,North Africa,,,,,,,,,,,14.8283152388,15.8577054405,37.8961062069,17.7490111077
,,,,Egypt,,,,,,,,,,14.8283152388,15.8577054405,37.8961062069,17.7490111077
,,,Other Africa,,,56.4030704421,55.4657169644,7.65377649457,31.7097090552,21.4469494723,28.6842767229,61.5631928067,80.6768112271,66.6254196509,114.197607674,119.370192917,115.459733923
,,,,"Congo, Democratic Rep. of",,,,,,,,,,-26.7543010167,-25.3684747615,-7.72964573344,0.671893517789
,,,,Ghana,,,,,,,,,,,11.3042513873,15.733829156,14.5529871227
,,,,Kenya,,,,,,,,,,,,,-23.5512982901
,,,,South Africa,,56.4030704421,55.4657169644,7.65377649457,31.7097090552,21.4469494723,28.6842767229,61.5631928067,80.6768112271,93.3797206676,128.261831048,111.366009495,123.786151573
,,Asia,,,,1685.92302743,1913.54101778,2264.89897268,2967.66372453,3452.82909801,3961.90706979,4628.38325222,5218.0792879,6564.13913319,10129.223895,8626.30473684,6508.98511716
,,,East Asia,,,1122.77362099,1154.73351497,1639.13327928,2274.62678435,2158.59818324,2123.23715043,2589.24030535,2857.84403331,3579.26500282,5816.20551552,4222.51343498,3087.82387991
,,,,China,,676.836845306,609.818763751,1007.92405837,1617.30412989,1456.10394574,1556.41833739,2417.14289079,2660.41422539,3542.24920947,5744.95150262,3955.02660906,2960.00897192
,,,,"Hong Kong, China",,39.6584089046,117.443857872,53.2733156008,53.121935273,88.1000102634,71.8160518688,-47.1513406408,-87.5518060082,-59.6408583097,-24.1852186892,-8.04806063735,52.9211526282
,,,,"Korea, Republic of",,406.278366779,427.470893345,577.935905305,604.200719189,603.050940634,495.719089004,248.740619047,341.28643121,136.107929785,129.384238987,276.027777454,88.7428752375
,,,,Taiwan Province of China,,,,,,11.3432865978,-0.716327831508,-29.4918638439,-56.3048172827,-39.4512781235,-33.945007401,-0.492890903994,-13.8491198828
,,,South-East Asia,,,371.907745728,484.268458684,401.848525953,403.726708075,826.958036885,1098.60253049,1083.18538735,1090.21551856,1623.21095433,2343.48088098,2432.75276021,2924.67542749
,,,,Indonesia,,15.8633635619,19.8833426668,10.4576352104,16.0319276452,48.8159939033,96.9312565109,-24.2454755028,-36.9913686806,29.3306250045,2.83274384647,7.64695150591,3.06100907748
