Germany,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,New Zealand,,,298.760013748,1086.45269002,4669.30886146,3074.26174131,566.256091677,637.428371621,628.586401924,584.513726331,,,,750.73886426
,Developing economies,,,,,54143.4224326,57759.2227978,68594.7615836,78506.047728,85443.3254433,106122.604889,137348.336979,135654.502287,156015.587297,181819.396545,193338.483057,166248.417239
,,Africa,,,,3768.43014392,4441.24241528,5576.14244613,6841.83284298,6697.15799427,7584.60743183,9293.36289309,8693.94582949,11390.827697,13521.0070672,13067.1003821,8576.10320879
,,,North Africa,,,1069.89574245,1148.32596098,1334.99038857,1516.01830664,1430.97633168,1723.95400507,1940.22687994,2357.5386962,2771.71525092,3293.73282148,3519.40915331,1669.0416175
,,,,Algeria,,44.9461967586,48.2401773561,70.7279676066,132.12378773,147.462523874,117.213068335,188.428710647,260.247778152,368.79371322,364.782580229,398.521330595,..
,,,,Egypt,,330.486740872,385.921418848,459.731789443,469.92481203,455.364273723,488.607284858,549.09303962,719.508563126,934.94968703,1086.33054112,1378.00395157,1295.65125607
,,,,Libya,,326.961548969,307.268955768,421.841806796,585.703388907,480.137977734,659.817384674,709.551863531,797.443726637,945.033890125,1296.11392975,1189.09448967,..
,,,,Morocco,,170.971807278,192.960709424,169.241922487,202.953034761,230.041537244,283.155165079,298.836158292,329.832745572,257.867479165,237.843587109,254.89838353,373.390331433
,,,,Tunisia,,195.648150596,213.934699579,213.446902241,125.313283208,117.970019099,175.161102119,194.317107855,250.505882713,265.070481377,308.662183271,298.890997947,..
,,,Other Africa,,,2699.41569944,3283.47815874,4186.84308243,5245.45058298,5157.64924502,5727.63634921,7314.86143129,6110.95183885,8264.72473727,9768.95767052,9057.30296808,6907.06159129
,,,,Cameroon,,2.64389392698,8.38959606192,,,,,,,,,,
,,,,Congo,,8.81297975659,,,,,,,,,,,
,,,,Côte d' Ivoire,,24.6763433184,23.0713891703,35.3639838033,29.9662198976,35.3910057298,46.0950268734,51.5234755676,15.3086928325,17.2872053072,21.3791988412,19.4085063602,..
,,,,Ghana,,14.1007676105,,,,,,11.7767944154,18.0920915293,15.8466048649,26.7239985516,40.1109131443,..
,,,,Kenya,,46.7087927099,59.7758719412,68.2019687635,80.3639533617,30.6722049658,44.7780261056,60.3560713792,61.2347713299,77.7924238823,85.516795365,78.9279258647,..
,,,,Liberia,,163.040125497,68.1654680031,60.6239722342,12.2589081399,..,..,16.1930923212,,,,,..
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (continued)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Mauritius,,20.2698534401,33.5583842477,59.3609728127,79.0018524572,38.9301063028,68.4840399262,103.046951135,260.247778152,422.095929583,614.651966686,702.587930238,..
,,,,Namibia,,42.3023028316,,,,,,,,,,,..
,,,,Nigeria,,262.626796746,203.447704502,228.6028953,110.330173259,135.665521964,122.481071406,151.626228099,94.6355556916,112.366834497,116.249393699,82.8096271367,201.868271058
,,,,South Africa,,2042.84870758,2795.83288764,3734.68928951,4933.52947586,4916.99039606,5445.7981749,6914.45042117,5626.64046561,7607.8109356,8889.73811818,8116.63735982,6705.19316023
,,,,United Rep. of Tanzania,,7.93168178093,5.2434975387,,,,,5.88839720772,34.7924837102,11.5248035381,14.6981992034,16.8207055121,..
,,,,Zimbabwe,,16.7446615375,13.6330936006,,,,,,,,,,..
,,Asia,,,,26323.4892349,31779.7898926,38343.3994387,46330.5001635,48178.9558002,58356.3040317,76740.5366196,83760.8169832,93526.6619127,110672.095202,123462.684559,123778.23533
,,,East Asia,,,14039.0767522,16713.1240549,19560.0720415,23930.75079,26552.6918989,30284.4326558,38264.2771551,41114.97385,47058.654047,56954.1857131,66458.6074785,68653.6837761
,,,,China,,6113.56405714,6790.32931262,9188.32079175,11470.2517162,12922.4358921,16999.8459109,22343.5232047,27274.5238301,32874.5020925,40718.0203931,50196.8669495,50828.5834917
,,,,"Hong Kong, China",,3118.03223788,3903.25956781,4366.18900029,5091.53318078,4548.92393647,4339.51752994,5820.68063983,5602.98157668,5158.79018375,5388.89430792,5387.80136558,7132.6789107
,,,,"Korea, Republic of",,3916.48820383,5140.72498694,5401.84852595,5715.37539501,7169.03806067,7206.62820146,8017.05279831,6408.77549941,7590.52373029,9074.13370818,9035.30666087,8993.03356555
,,,,Taiwan Province of China,,890.992253391,878.810187486,603.713723499,1653.59049798,1912.2940096,1738.44101351,2083.02051223,1828.69294381,1434.8380405,1773.1373039,1838.63250252,1699.38779818
,,,South-East Asia,,,8675.49727238,10790.0692351,11729.4756279,13179.6883513,12522.5175274,15747.3781907,19595.113818,23330.4478767,23892.358335,27335.9781184,28804.8112393,25464.4289835
,,,,Indonesia,,727.952127894,1128.40067033,1222.58344006,1367.54930805,1321.26421391,1800.3400496,1884.28710647,1978.99647343,2425.97114477,2842.09724596,3267.09857063,2502.90268102
