Poland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Netherlands,,100.718040112,270.542350207,301.773210811,538.535723006,469.034158895,1260.3697348,1319.44260432,2234.0,2305.5,3152.72764077,3414.20378065,4252.64550265
,,,,Portugal,,,,,,2.36706615642,2.63400153562,2.50256881328,2.8,2.0,11.976653959,20.395622403,48.3610788489
,,,,Romania,,5.83104442752,6.54035612551,28.8784225975,67.5215762128,123.915913289,171.078399739,278.815607786,351.5,375.0,614.486690732,636.975478434,754.290876242
,,,,Slovakia,,,,2.52213297795,11.5946140971,22.0137152547,38.7198225737,74.7826445381,164.0,156.7,237.407644816,195.967694739,314.105045812
,,,,Slovenia,,,,,,,0.526800307125,9.71585539274,11.6,8.1,34.2768462602,18.4643296073,17.0989805136
,,,,Spain,,11.662088855,6.95561683189,8.32303882723,8.32084070501,10.1783844726,12.7749074478,28.1170966669,56.2,98.3,260.686211666,469.508983438,549.264421216
,,,,Sweden,,,,0.756639893384,13.3679080179,303.931294485,417.489243396,567.347070964,258.8,256.1,1250.32893627,31.398138936,-546.199509614
,,,,United Kingdom,,35.6930598291,40.799364402,64.0621776399,96.3035006186,283.456172232,1091.13513613,1146.47093634,1150.7,1304.1,5600.3171283,5646.16375022,5799.19989676
,,,Other developed Europe,,,82.6064627232,99.0396784719,111.226064328,408.676045118,1972.94964138,2933.75091038,4395.68851556,6073.7,7843.0,4596.70726359,6489.58272371,6124.27409988
,,,,Guernsey,,,,,,,,,,,,,0.709769002452
,,,,Iceland,,,,,,,,,,,2.02422320435,4.184467724,
,,,,Isle of Man,,,,,,,,,,,150.737154617,155.352022005,167.989417989
,,,,Jersey,,,,,,,,,,,2.327856685,9.59793995435,9.25925925926
,,,,Liechtenstein,,,0.519075882977,,,0.591766539105,20.1501117475,22.8175391799,22.1,22.8,94.1938531089,103.265640545,133.113950187
,,,,Norway,,,,,-3.68299506615,13.9656903229,48.2022281019,477.107383756,540.8,1095.8,1293.27620526,1297.50687657,1664.85998193
,,,,Switzerland,,82.2530660913,98.6244177656,110.97385103,412.495447409,1958.39218452,2865.39857053,3895.6163827,5510.8,6724.3,3054.08049661,4919.06127465,4148.82565492
,,North America,,,,100.629690954,77.7575672699,72.0068965204,78.4341541865,140.840436307,191.49191164,236.12472803,420.8,444.0,2027.02337978,2106.25036578,2067.52484192
,,,Canada,,,,,,1.77329392074,2.60377277206,4.8729028409,9.86306532293,11.4,13.0,62.7846563881,85.8547433722,47.2964253452
,,,United States,,,100.629690954,77.7575672699,71.6285765737,76.6608602658,138.236663535,186.619008799,226.261662707,409.4,431.0,1964.20498634,2020.3956224,2020.22841657
,,Other developed countries,,,,17.2280858086,17.0256889616,-1.51327978677,-4.22862396484,-4.14236577374,0.526800307125,-3.23861846425,11.6,16.1,82.4870955771,112.980628548,125.241966705
,,,Australia,,,-1.14853905391,,,,0.710119846927,1.44870084459,2.50256881328,7.7,12.7,26.2136904963,24.6971381752,27.0034843206
,,,Israel,,,18.1999265465,17.0256889616,,,,0.790200460687,0.883259581158,4.4,5.2,80.7327688,102.592614268,111.111111111
,,,Japan,,,,,-1.38717313787,-4.09221674017,-4.97083892849,-1.71210099815,-6.62444685869,-0.6,-1.9,-24.8979454134,-14.9236261485,-13.7114466383
,,,New Zealand,,,,,,,,,,,,,0.526716217007,0.580720092915
,Developing economies,,,,,367.179100618,325.35676345,424.474980189,462.420491639,514.245122483,565.783529852,859.264362537,540.1,643.4,1534.63108532,1573.03798209,1753.38753388
,,Africa,,,,77.3055132437,37.5810939275,39.9758077005,64.7934317193,90.3035738675,124.324872481,131.311257732,12.8,5.4,197.159340103,200.737402704,226.674409601
,,,North Africa,,,52.3910506897,,,,1.6569463095,21.7305126689,12.218424206,12.1,4.4,27.3944873655,31.1933048516,40.1987353207
,,,,Egypt,,,,,,,7.77030453009,0.883259581158,11.7,4.0,2.39533079181,1.05343243401,4.87159633501
,,,,Libya,,,,,,,,,,,9.68253432745,-3.01398724176,-1.70989805136
,,,,Morocco,,,,,,,,,,,13.9334030566,31.1933048516,35.7788101691
,,,,Tunisia,,,,,,,,,,,1.28200802942,1.84350675952,0.935604594141
,,,Other Africa,,,24.914462554,37.5810939275,39.9758077005,64.7934317193,88.646627558,102.594359813,119.092833526,0.7,1.0,169.731115684,169.544097852,186.475674281
,,,,"Congo, Democratic Rep. of",,,,,,,,,,,17.9481124119,-6.75952478492,-6.71054329591
,,,,Ghana,,,,,,,,,,,1.07958570898,0.760812313455,
,,,,Liberia,,,,,,,,,,,147.464660437,150.026335811,152.600335527
,,,,Namibia,,,,,,,,,,,,,8.19460575558
,,,,Niger,,,,,,,,,,,,,1.38727577752
,,,,Senegal,,,,,,,,,,,,0.585240241119,5.00064524455
,,,,South Africa,,,,,,,,-2.35535888309,0.7,1.0,-3.71107587463,23.555919705,23.9385727191
,,,,Swaziland,,,,,,,,,,,3.40744239398,,
,,,,,,,,,,,,,,,,,/…
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,United Rep. of Tanzania,,,,,,,,,,,1.85553793732,,
,,Asia,,,,278.741593467,277.497967039,372.014614247,383.304301329,389.737442655,403.265635104,662.739105729,522.0,631.0,1195.97854323,1115.90682975,1277.42289328
,,,East Asia,,,139.680018787,139.112336638,141.743873361,143.773214805,152.557413781,173.449001121,180.773794277,185.0,184.0,127.897169461,141.101422134,192.121564073
,,,,China,,139.680018787,139.112336638,141.491660063,144.046029254,152.794120397,170.814999585,180.332164486,183.3,180.5,114.604770419,132.352080529,173.183636598
,,,,"Hong Kong, China",,,,,,,,-0.883259581158,,1.6,35.255220809,18.4350675952,24.8741773132
,,,,"Korea, Republic of",,,,,,,3.16080184275,1.47209930193,1.3,1.9,-23.3460409568,-14.0750277989,-8.22686798297
,,,,Mongolia,,,,,,,,,,,,1.31679054252,1.38727577752
,,,,Taiwan Province of China,,,,,,,-0.526800307125,,,,1.21453392261,3.07251126587,0.806555684604
,,,South-East Asia,,,6.44948853347,7.26706236167,120.179636399,114.991290399,96.576299182,155.932890909,186.662191485,195.8,207.3,534.799770588,422.865336221,473.448186863
,,,,Indonesia,,,,,,,,13.5433135778,15.2,14.3,22.6038257819,27.711125417,31.8428184282
,,,,Malaysia,,,,108.830037998,103.396676302,81.6637823966,87.1854508291,87.4426985347,76.2,76.0,88.6272392969,86.2058875168,92.8184281843
,,,,Philippines,,,,,,-2.36706615642,-1.18530069103,-1.03046951135,,,,0.497454204951,0.742031229836
,,,,Singapore,,6.27279021749,7.26706236167,11.097385103,10.9125779738,17.2795829419,67.0353390816,84.3512900006,102.0,113.3,350.224351405,296.04377597,332.849399923
,,,,Thailand,,,,,0.682036123361,,2.89740168919,2.35535888309,2.5,3.7,7.82699639014,7.72517118277,9.93676603433
,,,,Viet Nam,,,,,,,,,,,64.7414054856,4.68192192895,4.67802297071
,,,South Asia,,,,,,4.36503118951,5.32589885195,7.77030453009,13.5433135778,50.6,141.8,190.445666475,175.689120384,209.317331269
,,,,India,,,,,4.36503118951,5.32589885195,7.37520429974,13.1016837872,50.2,141.8,174.04945852,181.89266694,217.511937024
,,,,"Iran, Islamic Republic of",,,,,,,,,,,42.3400020242,0.643764265231,1.74216027875
,,,,Pakistan,,,,,,,,,,,-26.3486387099,-7.16919295371,-10.5174861272
,,,West Asia,,,100.80638927,100.181645414,100.759212469,97.394758416,142.379029309,70.3278410011,153.834377052,90.6,97.9,458.419081677,513.167905425,543.747580333
,,,,Lebanon,,,,,,,,,,,0.539792854492,0.965646397846,0.516195638147
,,,,Saudi Arabia,,,,,,,,,,,1.38321918964,1.87276877158,3.6778939218
,,,,Turkey,,100.187945164,99.9740150613,101.137532416,95.2122428212,130.306991911,44.9097261824,85.8233893025,90.6,97.9,228.568536824,241.499385498,263.840495548
,,,,United Arab Emirates,,,,,,,,,,,111.872069093,131.357172119,132.081558911
,,Latin America and the Caribbean,,,,11.1319939071,10.2777024829,12.4845582408,14.3227585906,34.2041059603,38.1930222665,64.9195792151,5.3,7.0,133.53125738,249.956106982,243.83791457
,,,South America,,,1.2368882119,,0.630533244487,,1.30188638603,2.7657016124,5.44676741714,4.3,5.7,36.0649100908,57.8217358226,78.1068524971
,,,,Argentina,,1.32523736989,,,,,,,0.6,1.0,5.2629803313,7.1106689296,12.5177442251
,,,,Brazil,,,,0.630533244487,,1.30188638603,2.7657016124,4.12187804541,3.5,4.5,21.9290847137,41.6398431556,50.8130081301
,,,,Chile,,,,,,,,,,,4.18339462231,3.16029730204,8.67853916634
,,,,Colombia,,,,,,,,,,,1.51816740326,2.63358108504,2.87133823719
,,,,Peru,,,,,,,,,,,1.85553793732,1.66793468719,2.83907600981
,,,,"Venezuela, Bolivarian Rep.",,,,,,,,,,,1.24827097601,1.17048048224,
,,,Central America,,,9.89510569519,10.2777024829,11.8540249964,,0.828473154748,0.921900537468,0.883259581158,1.0,1.3,24.0545190783,32.6856674665,34.1656987998
,,,,Mexico,,,,,,0.828473154748,0.921900537468,0.883259581158,1.0,1.3,19.871124456,22.3269151987,24.4225061298
,,,,Nicaragua,,,,,,,,,,,-5.36419149152,,
,,,,Panama,,,,,,,,,,,9.3789008468,10.1539181834,9.74319267002
,,,Caribbean,,,,,,14.1863513659,32.0737464195,34.5054201167,58.5895522168,,,73.4118282109,159.448703693,131.565363273
