Italy,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Sweden,,601.926517375,603.002216951,755.273654085,879.917184265,891.853344391,1086.52563344,3334.52573377,1587.01043496,2272.17264156,2226.37631933,2143.25547934,2599.53557104
,,,,United Kingdom,,17421.4983828,18802.1334743,20455.5386314,24547.7824997,22599.5165589,24837.3174802,17316.1715997,16712.5834672,20330.8771096,16600.1862663,18925.920319,16740.2628246
,,,Other developed Europe,,,9108.21457843,9509.60713619,11225.5388587,10926.7734554,10174.9141473,11606.7277667,11658.9823083,6460.54671517,10705.9086227,11598.0015794,13051.0301388,14432.3279502
,,,,Andorra,,,,,,,,2.67922072951,4.67610981065,4.69635744178,4.27583976825,4.07578633564,
,,,,Faeroe Islands,,,,,,,,,3.34007843618,,,,
,,,,Gibraltar,,,,,,,,7.52242743286,7.38992354004,8.15379850322,6.81461963065,6.8706112515,
,,,,Guernsey,,,,,,,,75.3714842588,68.2211020589,65.2303880257,64.5250945027,162.940880396,
,,,,Iceland,,,,,,,,68.9089683234,23.8954778121,-32.3846979421,108.472710121,-9.57486313768,-13.7481528393
,,,,Isle of Man,,,,,,,,7.65491637004,11.0083418459,11.3951494983,12.6270893156,17.7134968047,
,,,,Jersey,,,,,,,,224.215444677,-1389.97364121,86.407214527,69.4022242384,77.0388312456,
,,,,Liechtenstein,,141.007676105,144.720532068,170.504921909,197.504631143,175.775328458,200.184116707,147.48962906,158.166630946,138.614574555,128.435537039,144.373409311,147.482583914
,,,,Norway,,,,,,,,61.6515187648,196.995042767,249.972988742,643.233283137,75.3438216902,600.723031455
,,,,Switzerland,,8967.20690233,9364.88660412,11055.0339368,10729.2688242,9999.13881886,11406.54365,10688.9719153,6995.7246996,11357.2905187,10080.4659596,12252.3571631,13697.8704877
,,North America,,,,19670.5708167,18302.9525086,19666.1639929,20344.3391086,20866.5369783,27477.9040196,19086.842082,26290.9820666,31111.6249253,28398.7781788,32449.0817836,34858.9033143
,,,Canada,,,888.348359464,831.618709638,1077.33850658,1189.11408957,1264.63860474,1369.68079852,859.323246509,1662.1204488,2026.89601026,2388.33711255,2398.49027699,2702.72588136
,,,United States,,,18782.2224572,17471.333799,18588.8254863,19155.2250191,19601.8983735,26108.2232211,18227.5188355,24628.8616178,29084.728915,26010.4410662,30050.5915066,32156.177433
,,Other developed countries,,,,964.13998537,958.511350075,1148.06647419,1259.9433366,1163.18438832,1195.83669717,2166.28244875,12870.3103211,1358.06844293,3734.93267557,3651.8139837,4553.34336078
,,,Australia,,,,,,,,,629.145799659,9227.27285379,1477.26372352,1987.73101226,1668.09642664,1946.19484906
,,,Bermuda,,,,,,,,,699.983218068,351.000492662,306.372496056,258.915459967,10.6746784981,
,,,Israel,,,,,,,,,205.961413333,324.808710925,156.002621893,385.012647132,414.7080249,447.395503483
,,,Japan,,,964.13998537,958.511350075,1148.06647419,1259.9433366,1163.18438832,1195.83669717,614.100944793,2928.28851598,-674.777247157,1059.75352456,1512.56959567,2127.95545704
,,,New Zealand,,,,,,,,,17.0910728954,38.9397477684,93.2068486145,43.5200316412,45.7652579973,31.7975511927
,Developing economies,,,,,6184.0678952,4139.21695705,5651.92241142,6231.61163779,7140.72525608,7950.73363528,27855.0482701,39330.7874513,47979.9036238,51478.0776359,67018.3746799,92641.3077897
,,Africa,,,,,,,,,,4865.59733373,6652.10021349,9593.54899122,10349.3227471,13200.0098336,15845.2079375
,,,North Africa,,,,,,,,,3685.85695317,4797.80000167,7183.94306747,8410.95096013,10944.0038714,13291.7458307
,,,,Algeria,,,,,,,,323.346611669,642.297083277,1087.04828172,2521.77003732,4068.63106629,
,,,,Egypt,,,,,,,,2557.43395426,3139.27013719,4383.47343173,4836.00150189,5543.65167165,5723.41408064
,,,,Libya,,,,,,,,84.8665247563,67.246912515,183.085910207,241.852186892,267.319827601,
