Portugal,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Norway,,0.636297138425,2.15507748841,2.33023393275,3.81115833061,0.559177890531,0.803370468365,0.535844145903,3.26214327266,3.62022891141,2.80601984791,,
,,,,Switzerland,,23.4293066829,35.5288906227,44.1077287987,45.7693145908,42.0209208032,47.6108947572,95.1579709761,51.984145761,66.172540715,62.9350165889,88.7343971783,100.633312223
,,North America,,,,302.844829865,432.907351593,527.428558438,525.493080527,673.046092066,1271.44176025,1884.0162402,940.908445667,1419.29684292,1577.19694652,1455.53058328,1439.15056998
,,,Canada,,,27.0558478527,32.0545491536,43.8791259034,48.1393701645,132.987602531,112.450793559,101.195050213,58.5362662933,106.506471897,95.0038148508,44.3781967427,44.7646189571
,,,United States,,,275.788982013,400.85280244,483.549432534,477.353710363,540.058489535,1158.99096669,1782.82118999,882.372179373,1312.79037103,1482.19313167,1411.15238653,1394.38595102
,,Other developed countries,,,,7.88232909429,21.2906974061,4827.76350588,13.9519995641,15.0730293403,21.9109417741,33.9407215053,34.2817300493,42.094344923,5330.70280108,41.2987137336,49.6450812751
,,,Australia,,,6.45462637372,15.7525153058,14.2163214889,13.9519995641,11.5339287673,17.9599394706,29.5244235995,28.7149326557,36.3319431539,36.4381720251,36.5798588872,44.7197593414
,,,Bermuda,,,1.12541751492,5.17952686873,4813.1000826,,,,,,,5288.34526337,,
,,,Israel,,,,,,,,,,,,0.614651966686,,
,,,Japan,,,,,,,3.53910057298,3.95100230343,4.41629790579,5.56679739363,5.76240176906,4.83704373783,4.71885484637,4.92532193371
,Developing economies,,,,,10638.1496268,5654.78175515,12061.9097056,13518.1104936,12953.328701,16342.4900007,21278.195854,22958.5621519,22446.5155477,19650.3699269,16362.6233572,16670.5879248
,,Africa,,,,1719.56481506,1096.85474044,1284.34032277,1355.89244851,1469.09834335,1809.62753901,2411.36931733,5161.79757455,3868.19946554,4868.23064414,5743.92675488,6845.62618746
,,,North Africa,,,945.575443513,305.425342033,335.510744336,313.187860957,279.151276495,324.480015172,204.833785268,332.085906817,75.0740108477,195.793375388,139.259914835,113.188727042
,,,,Algeria,,,,,1.36210090444,1.17970019099,-1.31700076781,30.9140853405,86.2853596012,28.8120088453,68.653952279,61.3632276087,64.2468862149
,,,,Egypt,,433.469053222,,,,,,,0.51492875891,,,,
,,,,Libya,,,,,,,,,,,31.2269923075,,
,,,,Morocco,,152.443398638,145.458816522,153.616093644,150.931677019,144.604110311,190.039259793,173.514872619,245.285618457,45.8471090751,41.5959037455,77.8966872267,48.9418408275
,,,,Tunisia,,359.662991654,157.869126496,179.34591786,,,,,,,54.0760110691,,
,,,Other Africa,,,774.00523491,791.157785231,948.430470619,1044.06260216,1188.25537678,1464.88019903,2017.97433248,4447.15021724,3563.64932904,4672.43726875,5604.66684005,6732.43746042
,,,,Angola,,198.396918982,213.555070357,293.375820634,298.568431949,430.927963967,709.12589342,977.169211926,2944.94854888,2451.69018447,3460.91815642,4285.08378652,5220.06940046
,,,,Botswana,,7.68315575179,13.8008855219,21.6478100853,,,,,,,0.60128996741,,
