Switzerland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,Israel,,,441.423716688,477.646380156,168.889966853,653.764581124,653.351594004,825.206916332,558.240781875,669.173639184,784.279475983,1243.72073223,1049.95217345,1157.86602662
,,,Japan,,,2546.11578132,5235.86674358,5852.13032581,7129.10922587,6754.47006011,8066.29517332,11800.0,13998.7778509,14901.5041242,15261.8135377,14450.8449357,14855.9895265
,,,New Zealand,,,154.593692243,164.407268532,30.6411189263,8.4835630965,161.302594537,200.770302385,316.57041315,435.837172135,426.297913634,541.081311196,660.962907854,653.938468252
,Developing economies,,,,,58384.4273535,71756.1292183,83869.2699491,104441.145281,102995.434832,164128.574941,164692.669924,171619.253549,217913.148957,276323.222648,269834.838984,310034.475235
,,Africa,,,,2625.1117868,2521.05566772,2671.76004527,2268.20431248,2670.6231454,6329.67303122,9740.91514882,13070.696625,9607.08393984,12369.838229,11176.3205442,10000.0
,,,North Africa,,,552.375842127,465.892702625,501.65736923,589.519264758,658.221106292,754.65049578,867.614393603,2016.35799568,2225.42455119,2895.700298,2666.4895313,2716.99759983
,,,,Egypt,,359.029392476,297.519469282,273.182957393,310.357016614,408.582515407,434.893059084,480.852954243,1576.47833036,1617.95245027,2146.55172414,1823.36061218,1929.63124591
,,,,Morocco,,171.585285876,151.067205076,212.466650497,253.181336161,222.095412006,278.947799721,368.280764105,416.846855316,551.479864144,681.140911026,735.891168031,677.067423085
,,,,Tunisia,,21.7611637751,17.3060282665,16.0077613388,25.980911983,27.5431788785,40.8096369745,18.4806752554,23.0328100028,55.9922367783,68.0076628352,107.237751089,110.298930831
,,,Other Africa,,,865.140404221,1008.14825498,1121.0283774,1478.52598091,1627.10187933,4417.5202819,7196.62372279,9089.4049074,4320.23289665,5263.94210302,3431.60803486,3547.56709579
,,,,Côte d' Ivoire,,69.9338222143,43.6256129218,76.3198318377,128.66737363,93.9663699308,135.212652626,242.914260329,275.641628279,403.39640951,549.914857386,337.974279945,369.735980799
,,,,Kenya,,33.6850891313,41.9671185463,77.209151912,92.788971368,94.1185421898,117.512087192,140.915148823,146.845915202,160.989810771,179.438058748,206.929535551,229.543966834
,,,,Nigeria,,18.6609431825,19.6856071532,33.22823187,31.0180275716,42.6082325192,61.4602966484,207.374500222,302.246874119,200.485201359,348.020434227,365.926240833,463.997381628
,,,,South Africa,,742.860549693,902.869916354,934.271161775,1226.05160834,1396.40873469,4103.33524543,6605.41981342,8364.6704898,3555.36147501,4186.56875266,2520.77797853,2484.28976653
,,Asia,,,,17556.4299767,21775.742717,21056.1888592,24792.6829268,28838.7734916,38518.8068508,42281.919147,50491.8680079,64426.3949539,81182.9501916,90119.9914975,102267.837661
,,,East Asia,,,4646.09789543,5587.53965965,6963.94211335,7214.91693178,8045.72776383,9587.72433008,12130.964016,14344.1759895,17986.2202814,22768.6249468,26738.760761,33386.319005
,,,,China,,1228.52202945,1378.28093453,1943.73029348,2405.8854719,2689.34033326,3208.63722036,4265.3043092,6161.98176177,7254.34255216,9009.89782886,14046.9762993,16152.9565787
,,,,"Hong Kong, China",,2162.76158111,2661.59503894,3186.91891018,2697.33121244,2899.71848132,3459.39523068,4022.47889827,4132.27413744,4513.82823872,5237.12217965,5295.67435434,9056.73139865
,,,,"Korea, Republic of",,717.820306445,1019.68560715,1238.66116905,1392.27642276,1721.44867991,2094.89469803,2862.10573079,3001.78621792,4953.71179039,5927.3094934,4710.48995642,5152.08378791
,,,,Taiwan Province of China,,536.993978418,527.978079031,594.631740642,719.423824673,735.220269345,824.797181021,981.075077743,1048.13387233,1264.33770015,2594.29544487,2685.62015092,3024.5472398
,,,South-East Asia,,,11065.9393072,14081.4104413,11402.7811464,14085.7193355,15854.4472343,23033.0246661,22669.480231,18297.1702548,24784.7646773,33481.2686249,36297.6936975,40961.9245036
,,,,Indonesia,,373.576581411,655.465820594,639.825369876,653.234358431,2671.30792057,5020.07703024,5711.59484673,5601.39136975,6826.58903445,7748.08429119,7439.68540759,7572.55073096
,,,,Malaysia,,833.959339415,838.549177964,1088.93200744,1182.30823613,1142.66149281,1305.25280669,1284.85117725,1465.35677353,1710.23774867,1998.72286079,2281.11382719,4364.717434
,,,,Philippines,,1191.91557861,1473.7525238,1412.15943084,1476.93531283,1388.72403561,1686.63443416,1756.28609507,1499.20090251,1604.65793304,2323.43550447,2444.36178127,3776.34737072
,,,,Singapore,,7783.1634174,10390.9720219,7312.47473523,9851.00742312,9807.27383398,13764.9758256,11998.9338072,7800.6016734,12461.9116934,18418.4759472,21002.4444681,21540.5847698
,,,,Thailand,,788.2907053,688.707816556,879.7800954,923.029338989,773.035075706,1129.6402524,1779.83118614,1734.41759895,2007.66618147,2645.91315453,2737.80422999,3225.943705
,,,,Viet Nam,,95.0336850891,33.963080473,69.6095076401,-0.795334040297,71.4448755992,126.444316971,137.983118614,196.201936636,173.702086366,346.636866752,392.28398342,481.780493127
,,,South Asia,,,544.327192512,651.571964234,758.347481607,1232.85613291,2001.36955033,2603.2942719,3671.34606841,3482.84290683,7597.18583212,12276.5006386,10681.1563397,9904.3203142
,,,,Bangladesh,,27.6635068264,9.87885780213,28.1348532622,44.0084835631,18.7932739862,23.8465950996,9.24033762772,-43.2452759237,-39.3983503154,42.9970200085,5.42034222553,79.5330569496
,,,,,,,,,,,,,,,,,/...
