United Kingdom,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Netherlands,,239276.830586,255434.992844,261182.043054,253289.65793,111081.456176,182133.154308,278010.061084,233498.79367,236490.546176,227434.115978,224131.826608,199203.426151
,,,,Poland,,2536.74950868,4527.54890204,5175.63240874,4473.12359611,3399.02953746,4944.80040202,4163.06889098,4248.03014731,6029.39390259,5709.37452057,5868.99282455,6376.69358733
,,,,Portugal,,1331.46715207,1013.82280505,1736.51390817,3213.85045938,4652.57234561,6216.82527718,6743.45037874,5143.11954692,5362.16041135,5737.55350093,4659.94319631,4456.26891626
,,,,Romania,,,,458.668113464,502.164134279,612.996208377,484.861333585,805.367514039,984.015219435,903.680310944,859.458900957,819.43261249,927.863357919
,,,,Slovakia,,-26.1071990601,420.680051062,592.520675759,198.934253195,160.136649941,266.968183674,368.625926824,571.457727435,409.733187578,410.160714118,425.177298934,332.957769593
,,,,Slovenia,,129.085595353,148.285688497,228.441706317,104.295627889,5.1656983852,104.039071579,..,75.8056169047,84.2139357869,..,494.751766032,102.569929022
,,,,Spain,,10284.7860297,11534.0476835,16883.2698575,21859.5910453,44087.5138182,49532.4130783,61863.0434478,54091.6810624,52717.9238026,56101.2188975,57735.9849967,58313.3716471
,,,,Sweden,,15587.4482389,17265.6119041,19824.4568263,18881.3714489,21871.5669629,35206.429222,34835.1500848,38003.3966748,37716.5067412,36483.9520707,36038.0278576,28053.6645869
,,,Other developed Europe,,,51503.7021459,60075.0454528,89063.7102503,58223.9999691,73847.1022154,153999.418952,208806.553528,102104.334769,92557.5934248,87442.5070526,101244.764521,94275.966761
,,,,Iceland,,10.1527996345,1.61180096192,667.478110644,830.502222076,785.186154551,553.566380854,500.850444054,586.035730686,672.09198753,43.8339694477,40.1985809901,
,,,,Isle of Man,,24046.1807343,24504.2100241,40543.0487687,30280.497297,51577.7764768,129192.970885,173258.192411,72774.8500288,,,,
,,,,Norway,,6294.73577339,7904.27191727,8745.03406994,9529.5301482,7745.10377888,4153.71085775,4748.06220963,5724.78187663,8599.53844285,8660.33996374,7211.00698991,7919.97651938
,,,,Switzerland,,21152.6328385,27664.9517104,39108.1493009,17583.4703018,13739.0358052,20099.1708282,30299.4484635,23018.6671332,32717.1140532,32582.7287898,29485.6591562,30247.083069
,,North America,,,,222907.616775,225666.640878,282978.594298,288248.007278,305149.85691,392241.040862,462980.140278,401301.81569,411087.088546,340236.139855,360369.455881,376180.737683
,,,Canada,,,14979.7306607,13231.2740964,15235.9909908,17231.9554078,22060.9759037,37666.0699143,58058.5834747,42591.0942978,46769.5048383,50950.7274873,42675.4320188,52530.0056492
,,,United States,,,207927.886115,212435.366781,267742.603307,271016.05187,283088.881006,354574.970948,404921.556803,358710.721392,364317.583708,289285.412368,317694.023862,323650.732034
,,Other developed countries,,,,34378.8299624,37530.7853984,37939.1702569,56850.7742019,55932.4602155,56667.9229875,61111.7677817,64918.7640769,58706.830236,79305.0437244,90137.5873739,98803.2456282
,,,Australia,,,19870.4792847,22462.0582054,29060.2836247,28171.407933,25186.2234268,22713.8886272,30834.3567377,26275.3930594,26059.3546297,49297.5606396,55970.3396316,67199.0834982
,,,Bermuda,,,9701.72525074,7944.56694132,2773.42509075,14603.3193049,18259.0218922,27264.1257577,27725.0771811,35026.5684109,25437.4671039,25240.5389073,24157.8010758,23897.2154631
,,,Japan,,,2544.00150842,3055.97462381,4213.67866105,11258.1336104,10462.2611295,4878.0583561,1186.01385152,2771.278418,4766.18486578,4051.5111761,9018.3970352,8541.70808914
,,,New Zealand,,,2262.62391855,4068.18562789,1891.78288044,2817.91335351,2024.953767,1811.85024655,1366.32001138,845.524188552,2443.82363658,715.433001343,991.049631333,-834.761422345
,Developing economies,,,,,77993.8067922,101757.830123,135776.46979,162268.545791,169384.97195,211546.766554,246640.796072,215196.110589,216143.163691,246296.812331,273365.811725,295671.23339
,,Africa,,,,12978.1787328,21785.1018013,30409.5174526,33509.7989605,35874.0533858,29651.1354,37094.9872884,30765.4180607,47852.9495121,47188.8336094,47694.0702455,58936.6812158
