Hungary,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Malaysia,,,,,,,,,,27.3389004094,35.8699113348,41.4452426458,23.6599963789
,,,,Singapore,,,,,-0.931666703644,,,8.61354498581,28.177920281,227.826628383,474.838193146,436.53542463,435.221735391
,,,South Asia,,,0.997838221697,0.973522295257,0.628837427857,2.07885806201,4.93342970316,6.51810739484,6.83277330398,27.7928476398,24.1327750306,22.5263838965,22.1058085425,24.4631285928
,,,,India,,0.997838221697,0.973522295257,0.628837427857,2.07885806201,4.93342970316,6.51810739484,6.83277330398,27.7928476398,24.1327750306,22.5263838965,22.1058085425,24.4631285928
,,,West Asia,,,0.555374701645,1.04487062533,16.5234412226,42.3403640524,83.1353666542,114.574523682,101.42907218,162.840072375,237.070526931,243.283973161,161.286841449,140.658968904
,,,,Turkey,,,0.630400737254,15.1757162418,41.954192978,82.6495021631,111.886434715,99.3967441052,151.118109733,161.939522518,152.990208483,79.3149119162,68.0475897343
,,Latin America and the Caribbean,,,,2.59483843673,3.32969350684,1.4761157753,1.64985487271,,1.96795741572,8.65010138462,1352.12478314,1679.86557665,2979.14188833,6445.20357321,9620.92830308
,,,South America,,,1.13599772068,,,,,,1.06989166329,176.158873929,162.025868028,267.39682243,180.082379093,230.218023808
,,,,Argentina,,,,,,,,,7.0,6.35522411868,10.4471123892,10.5407055011,12.2545964785
,,,,Brazil,,1.02238029244,,,,,,1.06989166329,167.790367729,155.199000372,256.701619938,168.474833804,216.387548092
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Chile,,,,,,,,,0.918508860625,,,,
,,,,Uruguay,,,,,,,,,,,,,1.27000407369
,,,Central America,,,1.45884071605,3.11617236632,1.19183989034,1.38358643852,,,,1175.96590389,1517.83971394,2711.74506111,6265.12119827,9390.71027022
,,,,Mexico,,,,,,,,,,4.32407082469,4.09570572729,6.98785524348,8.44809215589
,,,Caribbean,,,,,,,,1.96795741572,7.58020972134,,,,,
,Transition economies,,,,,314.656096043,327.860349263,368.460013693,560.471318975,696.944213133,1528.98269443,2361.03568159,2439.31814699,2250.63333865,2262.79995687,2214.99880339,2324.13827909
,,South-East Europe,,,,282.785127352,294.961959051,328.785492492,505.00618549,643.778142125,1065.94286487,1726.91042234,1356.33378213,1329.55758494,1194.64307213,1115.50720874,1000.74046531
,,,Montenegro,,,,,,,,,392.123538613,221.581544356,209.617307386,248.322324467,191.340639023,228.593549993
,,,Serbia,,,,,,,,,637.40394531,566.318764302,562.347806668,484.094593817,492.579661792,339.577228081
,,,Serbia and Montenegro,,,,,6.28988772605,20.2775962172,173.471727854,533.243844411,,,,,,
,,,The FYR of Macedonia,,,282.380977712,294.627533398,322.422454805,484.728589273,470.306414271,532.699020457,697.382938416,568.319557235,557.590184506,462.275360652,431.726956955,432.462549224
,,CIS,,,,31.8709686915,32.8983902114,39.6745212005,55.4651334849,53.1660710085,463.039829564,634.125259255,1082.98436486,921.075753709,1068.15688474,1099.49159465,1323.39781379
,,,Belarus,,,,,,,,-1.17876938733,..,,,,,
,,,Russian Federation,,,11.1715859155,13.017455676,14.5776522461,26.5887855843,19.6396461701,183.786774549,234.677017554,575.238140599,358.797527516,466.363374071,574.822182982,770.553849636
,,,Ukraine,,,20.699382776,19.8809345354,25.0968689544,28.8763479006,33.5264248385,280.431824402,399.448177973,507.659257091,562.052267773,601.738883297,524.613096227,552.693703888
,Unspecified,,,,,68.7176215246,130.807786285,177.66889672,243.108127511,256.361913985,289.868802839,428.544232663,464.307104465,895.933673632,890.701845195,660.941004653,410.16534649
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from Magyar Nemzeti Bank (the Central Bank of Hungary).",,,,,,,,,,,,,,,,,
Note:  Data exclude Special Purpose Entities.,,,,,,,,,,,,,,,,,
