Belgium,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,Malaysia,,..,..,..,..,..,..,..,,463.873342409,460.988975014,485.212659004,339.085919358
,,,,Myanmar,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Philippines,,..,..,..,..,..,..,..,,-40.3368123834,14.6981992034,42.6987139924,52.7760185772
,,,,Singapore,,..,..,..,..,..,..,..,,1712.87392585,2282.2294763,2212.56972506,3665.29449018
,,,,Thailand,,..,..,..,..,..,..,..,,422.095929583,307.325983343,847.504777727,868.165505594
,,,,Viet Nam,,..,..,..,..,..,..,..,,2.88119207252,29.3963916827,10.3511975141,3.95819500528
,,,South Asia,,,..,..,..,..,..,..,..,,518.616088719,1696.97407458,1189.09444264,1581.96110575
,,,,Bangladesh,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,India,,..,..,..,..,..,..,..,,499.888353466,1679.60330897,1176.15548543,1563.48955035
,,,,"Iran, Islamic Republic of",,..,..,..,..,..,..,..,,10.0841942838,8.01719284147,10.3511975141,18.471600114
,,,,Maldives,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Nepal,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Pakistan,,..,..,..,..,..,..,..,,8.64359384158,9.35339276905,2.58779497001,-6.38800928858e-06
,,,,Sri Lanka,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,West Asia,,,..,..,..,..,..,..,..,1754.93287834,6174.4133898,9642.01870689,7033.64263439,4873.86523894
,,,,Bahrain,,..,..,..,..,..,..,..,,34.5744018023,38.7497911758,55.6377123545,87.0804242643
,,,,Iraq,,..,..,..,..,..,..,..,,,22.7153920448,73.7523182906,
,,,,Jordan,,..,..,..,..,..,..,..,,731.825015858,744.263352937,723.290331144,730.947850906
,,,,Kuwait,,..,..,..,..,..,..,..,,72.0300133012,68.1461895825,,
,,,,Lebanon,,..,..,..,..,..,..,..,,145.500635857,309.998376474,160.443646699,160.966850272
,,,,Oman,,..,..,..,..,..,..,..,,1.44059163026,1.33619320358,1.293894546,1.31939407642
,,,,Qatar,,..,..,..,..,..,..,..,,266.511073007,221.809181254,248.428875532,197.910063276
,,,,Saudi Arabia,,..,..,..,..,..,..,..,,152.703638068,248.533179806,386.876220901,274.435290213
,,,,Syrian Arab Republic,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Turkey,,..,..,..,..,..,..,..,,4458.65836881,4652.64814783,4454.89915987,2471.23706988
,,,,United Arab Emirates,,..,..,..,..,..,..,..,,311.169686717,1365.59631926,929.020498562,949.968328001
,,,,Yemen,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,Latin America and the Caribbean,,,,..,..,..,..,..,..,..,31160.1484108,23692.1145386,12836.8723849,11674.8633025,13789.054011
,,,South America,,,..,..,..,..,..,..,..,7839.44242957,15201.2157963,4184.97810593,3439.18728,5034.83212116
,,,,Argentina,,..,..,..,..,..,..,..,,5310.05323019,-4703.42374507,-3756.1929309,-2088.61093519
,,,,"Bolivia, Plurinational State of",,..,..,..,..,..,..,..,,4.32179251478,2.67239313116,2.58779497001,
,,,,Brazil,,..,..,..,..,..,..,..,5127.02039953,7400.36447191,6735.78383492,5293.34663463,5082.33058898
,,,,Chile,,..,..,..,..,..,..,..,,1211.54497194,1568.69871498,1139.92627355,1291.69305468
,,,,Colombia,,..,..,..,..,..,..,..,,24.4901987065,25.3877919,42.6987081144,56.7342135824
,,,,Ecuador,,..,..,..,..,..,..,..,,12.9653951684,20.0429921897,38.8170068423,9.23579686299
,,,,Guyana,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Paraguay,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Peru,,..,..,..,..,..,..,..,,525.819152614,284.61057785,367.467714541,638.589818396
,,,,Suriname,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Uruguay,,..,..,..,..,..,..,..,,95.0796291894,105.559794279,91.8669301048,10.5552037154
,,,,"Venezuela, Bolivarian Rep.",,..,..,..,..,..,..,..,,610.81458752,141.637192323,212.199669538,30.3462106819
,,,Central America,,,..,..,..,..,..,..,..,,3565.48603292,3173.47478093,4044.73268431,3612.51842689
,,,,Belize,,..,..,..,..,..,..,..,,1.44059163026,1.33619320358,11.6450979381,23.7492019717
,,,,Costa Rica,,..,..,..,..,..,..,..,,119.569827896,163.016384441,240.665472988,222.9786721
,,,,El Salvador,,..,..,..,..,..,..,..,,7.20299339931,9.35339276905,14.2328987861,1.31939407642
,,,,Guatemala,,..,..,..,..,..,..,..,,8.64359384158,2.67239313116,,
,,,,Honduras,,..,..,..,..,..,..,..,,5.76239295705,4.00859305874,5.17559581804,
,,,,Mexico,,..,..,..,..,..,..,..,,3182.28637696,2839.4248461,2913.86375487,2576.78910703
,,,,Nicaragua,,..,..,..,..,..,..,..,,,2.67239313116,10.3511975141,7.91639639856
,,,,Panama,,..,..,..,..,..,..,..,,240.580265046,150.990585092,848.798672273,779.76566809
,,,Caribbean,,,..,..,..,..,..,..,..,23320.7059812,4925.41270943,5478.41949799,4190.94333818,5141.70346296
,,,,Anguilla,,..,..,..,..,..,..,..,,,9.35339276905,10.3511975141,14.5133987207
,,,,Antigua and Barbuda,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Aruba,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Bahamas,,..,..,..,..,..,..,..,,303.966684506,362.11017365,375.231117085,418.249940836
,,,,Barbados,,..,..,..,..,..,..,..,,,1.33619320358,5.17559581804,1.31939407642
,,,,British Virgin Islands,,..,..,..,..,..,..,..,,1776.2603365,2604.25365213,1700.18515127,2564.91449646
,,,,Cayman Islands,,..,..,..,..,..,..,..,,2457.66434569,2036.3686829,1935.67502844,2046.39011394
,,,,Dominican Republic,,..,..,..,..,..,..,..,,5.76239295705,6.68099291389,2.58779497001,1.31939407642
,,,,Haiti,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Jamaica,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Netherlands Antilles,,..,..,..,..,..,..,..,,335.659894236,442.282169304,,
,,,,Saint Kitts and Nevis,,..,..,..,..,..,..,..,,2.88119207252,4.00859305874,46.5804093864,1.31939407642
,,,,Trinidad and Tobago,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Turks and Caicos Islands,,..,..,..,..,..,..,..,,,..,,2.63879454085
,,,,US Virgin Islands,,..,..,..,..,..,..,..,,27.371399591,..,,
,,Oceania,,,,..,..,..,..,..,..,..,,285.238667268,73.4907573148,76.3399780665,109.510078847
,,,American Samoa,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,Cook Islands,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,Fiji,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,French Polynesia,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,Guam,,,..,..,..,..,..,..,..,,-8.81200884529e-06,5.34479298631,5.17559581804,5.27759546971
,,,Marshall Islands,,,..,..,..,..,..,..,..,,237.699064162,8.01719284147,11.6450979381,11.8745977919
,,,Nauru,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,New Caledonia,,,..,..,..,..,..,..,..,,2.88119207252,..,,
,,,Norfolk Island,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,Papua New Guinea,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,Samoa,,,..,..,..,..,..,..,..,,38.8962031291,53.4479903791,53.0499115064,79.1640214777
,,,Solomon Islands,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,Tuvalu,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,Vanuatu,,,..,..,..,..,..,..,..,,,2.67239313116,3.88169539403,3.95819500528
,Transition economies,,,,,..,..,..,..,..,..,..,,3386.85150437,3373.90503334,3203.69736286,2113.67944861
,,South-East Europe,,,,..,..,..,..,..,..,..,,105.163793819,88.1892283242,99.6303103198,34.3043869411
,,,Albania,,,..,..,..,..,..,..,..,,,1.33619320358,6.46949624205,-6.38800928858e-06
,,,Bosnia and Herzegovina,,,..,..,..,..,..,..,..,,4.32179251478,2.67239313116,10.3511975141,23.7492019717
,,,Montenegro,,,..,..,..,..,..,..,..,,11.5247947261,8.01719284147,10.3511975141,
,,,Serbia,,,..,..,..,..,..,..,..,,89.3172186084,76.1633891479,72.4584178666,3.95819500528
,,,The FYR of Macedonia,,,..,..,..,..,..,..,..,,,..,,6.59699593414
,,CIS,,,,..,..,..,..,..,..,..,,3281.68771055,3285.71580502,3104.06705254,2079.37506167
,,,Armenia,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,Azerbaijan,,,..,..,..,..,..,..,..,,,..,234.195970868,233.533875816
,,,Belarus,,,..,..,..,..,..,..,..,,31.6932009178,33.4049914655,43.9926085384,39.5820075449
,,,Kazakhstan,,,..,..,..,..,..,..,..,,67.7082119744,65.4737897273,81.5157208347,72.5670191556
,,,Kyrgyzstan,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,"Moldova, Republic of",,,..,..,..,..,..,..,..,,,..,10.3511975141,
,,,Russian Federation,,,..,..,..,..,..,..,..,,2911.45349382,2991.75163785,2613.6788565,1630.77897403
,,,Tajikistan,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,Ukraine,,,..,..,..,..,..,..,..,,190.159249567,192.412782847,84.1035216827,96.3162275153
,,,Uzbekistan,,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,Georgia,,,,..,..,..,..,..,..,..,,80.6736159548,2.67239313116,36.2292059943,6.59699593414
,Unspecified,,,,,..,..,..,..,..,..,..,13695.7132877,1829.56254727,-223.145387906,1711.83024803,1728.41459521
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the National Bank of Belgium.",,,,,,,,,,,,,,,,,
