Netherlands,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Morocco,,32.6080250994,37.7531822787,207.131905134,125.313283208,112.071518144,139.602081388,881.787481856,835.158778979,230.928250895,200.563609129,166.52498457,191.840827528
,,,,Tunisia,,115.450034811,144.720532068,118.721945625,114.416475973,87.2978141335,119.847069871,153.098327401,123.443732204,155.584847765,149.921631874,107.134955108,116.503061009
,,,Other Africa,,,3254.63342411,4408.73273054,4151.47909862,1272.20224474,1059.01686145,1364.67619561,2110.54876918,2081.98222522,2296.60522506,2492.6809649,2224.47360896,2422.1553726
,,,,Angola,,259.101604844,317.755950845,,227.470851041,,,,-35.766673254,,11.0904593989,,251.345788474
,,,,Cameroon,,,,,,,61.8990360871,79.4933623042,73.2033857262,66.1235602999,70.5513561761,,45.7831961157
,,,,Côte d' Ivoire,,111.043544933,185.61981287,165.452924223,80.3639533617,104.993316998,111.945065264,,87.1203792102,65.9795002557,65.7410364368,8.02218262887,8.57610301879
,,,,Ghana,,66.0973481744,65.0193694799,37.8899826464,,22.0603935716,26.6034155098,52.5539450789,29.3648562514,50.1328953908,86.3185153215,48.5212659004,41.693054676
,,,,Kenya,,59.0469643691,66.0680689876,60.6239722342,,,,116.295844853,102.985751782,87.156326757,93.9348549087,127.19041168,134.578847372
,,,,Mauritius,,66.97864615,144.720532068,119.984945047,110.330173259,122.688819863,146.187085227,329.750243632,293.231052709,180.363175371,101.818434481,,
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (continued)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Namibia,,1.76259595132,16.7791921238,26.5229878525,,,,,30.8957255346,,,29.1127595403,5.93730208993
,,,,Nigeria,,2248.1911359,2910.14113398,2863.21968865,,,,,,,,,
,,,,Senegal,,4.40648987829,6.29219704644,2.52599884309,4.08630271331,2.35940038199,5.26800307125,5.88839720772,2.36588889229,1.00842030959,1.06895994206,,
,,,,South Africa,,416.853942486,673.265083969,870.206601445,849.950964367,804.555530258,1010.13958891,1523.6227775,1492.3192113,1840.94330517,2059.75218836,2009.29796845,1931.47033988
,,,,Uganda,,,,,,,,,3.06173856649,2.30496070762,2.40515986964,2.32902076322,2.7707409753
,,,,Zambia,,21.1511514158,23.0713891703,5.05199768619,,2.35940038199,2.63400153562,2.94419860386,2.78339869681,2.59308079608,,,
,,Asia,,,,19163.8244807,24903.4672103,28502.107946,32531.0559006,32457.0913548,45615.6385939,54130.5634313,55550.6536812,64323.5300473,69403.8276783,69330.1606895,74403.49905
,,,East Asia,,,8820.91143837,10409.3913138,12371.079334,15409.4475319,15731.3020469,25117.8386437,24096.7934733,21015.0776707,22634.5700888,23963.5431212,24176.1412525,24898.8019844
,,,,China,,1998.78380879,1924.3635967,2222.87898192,1709.43663507,2155.31224895,2921.10770301,6428.65765153,7095.85746772,9378.30887914,7667.11518444,7853.32862354,8699.73084231
,,,,"Hong Kong, China",,1434.75310437,1311.92308418,3951.92519002,4327.39457339,2802.9676538,4214.402457,5652.86131941,6102.7408127,7464.61525164,7903.22171165,7706.7297055,6972.37175427
,,,,"Korea, Republic of",,2030.51053592,3628.50029678,3536.39838033,5671.78816607,4062.88745778,6606.07585134,6936.5319107,4781.73979119,4209.86667243,6670.04279848,7267.83868167,7725.61747942
,,,,Taiwan Province of China,,3356.86398928,3544.60433616,2659.87678178,3700.82815735,6710.13468637,11376.2526324,5078.74259166,3034.73959913,1581.77928561,1723.1634266,1348.24424182,1501.08190838
,,,South-East Asia,,,6043.06021909,8214.46324413,10792.3300571,11618.7207148,10509.9490016,13247.7107234,16749.5458574,19483.5125378,25307.6042094,28969.6161498,29402.2050651,34156.111463
,,,,Cambodia,,,,,,,,,14.7520130931,,,,
,,,,Indonesia,,742.93419348,1049.74820725,1119.01748749,911.245505067,897.751845346,964.044562038,918.589964405,1051.84636753,1243.9584819,1425.99256271,2172.84698204,2454.74456407
