United States,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,Malaysia,,7489.0,7101.0,7057.0,8909.0,11097.0,11185.0,12140.0,12243.0,9740.0,11791.0,12386.0,15001.0
,,,,Myanmar,,..,,,,1.0,,,,,,1.0,1.0
,,,,Philippines,,5436.0,5964.0,6390.0,6176.0,6522.0,6948.0,6953.0,5505.0,4602.0,5399.0,4766.0,4591.0
,,,,Singapore,,40764.0,50955.0,51053.0,61076.0,76390.0,81879.0,93529.0,83169.0,87909.0,102778.0,118571.0,138603.0
,,,,Thailand,,6176.0,7774.0,6886.0,7499.0,10252.0,10642.0,10284.0,9162.0,9457.0,12999.0,14537.0,16882.0
,,,,Viet Nam,,172.0,181.0,218.0,205.0,261.0,261.0,426.0,477.0,738.0,799.0,964.0,1064.0
,,,South Asia,,,3269.0,5060.0,5872.0,8937.00001,8536.00001,11358.00001,14933.00001,19170.0,22804.0,25071.00001,24977.00001,29081.0
,,,,Afghanistan,,,,,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0
,,,,Bangladesh,,193.0,220.0,189.0,354.0,181.0,365.0,218.0,260.0,331.0,296.0,..,368.0
,,,,India,,2496.0,4232.0,4868.0,7658.0,7162.0,9746.0,14622.0,18354.0,21752.0,24666.0,24622.0,28385.0
,,,,"Iran, Islamic Republic of",,,,,..,..,..,2.0,1.0,-1.0,-1.0,-1.0,-1.0
,,,,Maldives,,5.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,Nepal,,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,5.0
,,,,Pakistan,,522.0,563.0,755.0,858.0,1130.0,1167.0,..,430.0,624.0,..,254.0,218.0
,,,,Sri Lanka,,45.0,31.0,47.0,56.0,52.0,69.0,80.0,113.0,90.0,101.0,94.0,102.0
,,,West Asia,,,9163.00002,11301.0,12078.0,15473.99999,15699.99999,18178.99999,24545.00003,26391.00003,28434.0,29123.0,30462.0,38674.0
,,,,Bahrain,,46.0,70.0,144.0,207.0,210.0,155.0,80.0,6.0,-329.0,-199.0,-225.0,-455.0
,,,,Iraq,,,,53.0,..,..,..,..,..,43.0,-46.0,468.0,1235.0
,,,,Jordan,,..,,,55.0,-2.0,39.0,105.0,137.0,140.0,135.0,182.0,189.0
,,,,Kuwait,,380.0,,,..,..,637.0,..,1458.0,285.0,134.0,158.0,331.0
,,,,Lebanon,,100.0,102.0,109.0,156.0,169.0,151.0,179.0,214.0,150.0,203.0,206.0,173.0
,,,,Oman,,236.0,193.0,358.0,..,..,..,..,..,..,..,..,..
,,,,Qatar,,1767.0,2278.0,3195.0,4027.0,4997.0,5395.0,7841.0,..,..,9907.0,7883.0,10572.0
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (continued)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Saudi Arabia,,3570.0,4930.0,3140.0,3657.0,3830.0,4410.0,5012.0,5126.0,7530.0,7436.0,8250.0,9692.0
,,,,Syrian Arab Republic,,..,,,..,-45.0,8.0,10.0,9.0,7.0,8.0,7.0,7.0
,,,,Turkey,,1641.0,1869.0,2213.0,2682.0,2563.0,3141.0,5584.0,4542.0,3675.0,4155.0,4851.0,6028.0
,,,,United Arab Emirates,,834.0,1087.0,1934.0,2962.0,2285.0,2670.0,2967.0,3337.0,4118.0,4935.0,5864.0,7826.0
,,,,Yemen,,548.0,552.0,618.0,640.0,497.0,779.0,814.0,700.0,..,..,..,..
,,Latin America and the Caribbean,,,,194642.00002,199941.0,212714.0,250853.0,266360.0,284950.0,344452.0,381445.00002,430546.0,487265.0,526902.0,564744.0
,,,South America,,,76809.0,64603.0,66256.0,68685.0,73311.0,80477.0,104732.0,98603.00002,119766.0,136599.0,152672.0,171268.0
,,,,Argentina,,15535.0,11288.0,10663.0,9201.0,10103.0,13174.0,13692.0,12197.0,12610.0,11747.0,13498.0,14396.0
,,,,"Bolivia, Plurinational State of",,439.0,380.0,361.0,331.0,316.0,308.0,248.0,324.0,462.0,535.0,547.0,502.0
,,,,Brazil,,32027.0,27598.0,29553.0,29485.0,30882.0,33504.0,48807.0,43953.0,55380.0,66963.0,73836.0,79394.0
,,,,Chile,,10526.0,8928.0,9021.0,10804.0,11127.0,10927.0,16337.0,16286.0,25404.0,30747.0,34966.0,39870.0
,,,,Colombia,,3122.0,2622.0,2773.0,2991.0,4292.0,3799.0,4552.0,5028.0,6050.0,6181.0,6475.0,8434.0
,,,,Ecuador,,579.0,809.0,975.0,881.0,941.0,904.0,1007.0,1098.0,1339.0,1283.0,793.0,851.0
,,,,Guyana,,143.0,157.0,165.0,163.0,174.0,197.0,194.0,210.0,..,..,..,..
,,,,Paraguay,,414.0,114.0,115.0,103.0,98.0,90.0,..,..,207.0,134.0,149.0,..
,,,,Peru,,3197.0,3310.0,3401.0,4773.0,5542.0,5561.0,5964.0,4448.0,6435.0,7196.0,8993.0,10918.0
,,,,Suriname,,40.0,97.0,176.0,255.0,292.0,276.0,..,..,..,..,..,144.0
,,,,Uruguay,,711.0,620.0,614.0,589.0,609.0,815.0,638.0,1081.0,1245.0,1229.0,1303.0,1435.0
,,,,"Venezuela, Bolivarian Rep.",,10069.0,8671.0,8438.0,9109.0,8934.0,10922.0,12871.0,13545.0,10248.0,10255.0,11871.0,15034.0
,,,Central America,,,60716.0,65395.0,64647.0,73214.0,82496.0,91811.0,102472.0,101291.0,97127.0,97752.0,102991.0,112729.0
,,,,Belize,,37.0,52.0,54.0,78.0,80.0,..,38.0,46.0,58.0,54.0,47.0,30.0
,,,,Costa Rica,,1835.0,1803.0,840.0,2687.0,1598.0,2105.0,2267.0,2414.0,2155.0,1827.0,1857.0,1681.0
,,,,El Salvador,,464.0,664.0,645.0,851.0,934.0,626.0,1490.0,3163.0,2572.0,2599.0,2630.0,2697.0
,,,,Guatemala,,311.0,300.0,298.0,410.0,386.0,436.0,614.0,1188.0,1051.0,1110.0,1121.0,1078.0
,,,,Honduras,,227.0,181.0,272.0,755.0,821.0,864.0,626.0,809.0,852.0,936.0,821.0,881.0
,,,,Mexico,,52544.0,56303.0,56851.0,63384.0,73687.0,82965.0,91046.0,87443.0,84047.0,85751.0,90795.0,101030.0
,,,,Nicaragua,,157.0,250.0,278.0,131.0,163.0,..,220.0,266.0,333.0,319.0,357.0,219.0
,,,,Panama,,5141.0,5842.0,5409.0,4919.0,4826.0,4636.0,6171.0,5963.0,6060.0,5156.0,5362.0,5113.0
,,,Caribbean,,,57117.00002,69942.0,81653.0,108954.0,110553.0,112662.0,137248.0,181551.0,213653.0,252914.0,271239.0,280747.0
,,,,Anguilla,,..,2.0,,-5.0,-5.0,-5.0,-5.0,-5.0,,,,..
,,,,Antigua and Barbuda,,89.0,93.0,30.0,34.0,30.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0
,,,,Aruba,,806.0,728.0,442.0,172.0,117.0,314.0,410.0,360.0,,287.0,..,296.0
,,,,Bahamas,,5533.0,7645.0,8643.0,11255.0,13451.0,13703.0,16567.0,23127.0,24951.0,28501.0,30640.0,29363.0
,,,,Barbados,,2240.0,1817.0,984.0,3249.0,3881.0,4831.0,2136.0,3154.0,5804.0,7524.0,11874.0,13082.0
,,,,British Virgin Islands,,36443.0,48305.0,61882.0,82159.0,83164.0,84817.0,105829.0,134298.0,160627.0,191680.0,200219.0,219851.0
,,,,Dominican Republic,,1116.0,983.0,816.0,1028.0,815.0,789.0,712.0,806.0,1193.0,1432.0,1467.0,1655.0
,,,,Haiti,,55.0,63.0,74.0,77.0,100.0,137.0,115.0,113.0,..,..,..,..
,,,,Jamaica,,2957.0,3097.0,3406.0,3551.0,1018.0,940.0,801.0,940.0,616.0,493.0,488.0,549.0
,,,,Netherlands Antilles,,5695.0,4753.0,2926.0,4712.0,5607.0,3924.0,6483.0,13314.0,14482.0,16335.0,,
,,,,Saint Kitts and Nevis,,-1.0,-1.0,-1.0,-1.0,36.0,..,,,..,5.0,5.0,5.0
,,,,Trinidad and Tobago,,2025.0,2326.0,2392.0,2577.0,2219.0,..,3916.0,5109.0,5210.0,5905.0,6566.0,8706.0
,,Oceania,,,,1685.00004,1683.0,1671.0,129.00004,110.00004,3074.00003,242.00004,157.00005,-1.99995,253.00002,148.00002,4047.0
,,,Fiji,,,23.0,,32.0,38.0,42.0,43.0,48.0,44.0,27.0,20.0,-12.0,-42.0
,,,French Polynesia,,,..,,8.0,..,..,..,..,..,..,,,
,,,Marshall Islands,,,1632.0,1652.0,1610.0,..,..,2917.0,..,..,..,..,..,3769.0
,,,Nauru,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
,,,Papua New Guinea,,,29.0,30.0,20.0,12.0,-16.0,8.0,61.0,..,..,235.0,165.0,194.0
,,,Samoa,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,Tuvalu,,,,,,,,,,,1.0,1.0,1.0,1.0
,,,Vanuatu,,,..,,,77.0,82.0,89.0,97.0,107.0,..,..,..,130.0
,Transition economies,,,,,7526.00002,8024.0,10005.0,14014.00003,17609.0,21329.00002,21574.00002,27326.00002,30556.0,20174.00001,24312.00001,26507.0
,,South-East Europe,,,,36.00001,42.0,36.0,22.00001,49.0,51.0,53.0,65.0,150.0,117.0,119.0,120.0
,,,Albania,,,..,6.0,5.0,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0
,,,Bosnia and Herzegovina,,,7.0,7.0,7.0,..,5.0,2.0,,-2.0,6.0,6.0,6.0,6.0
,,,Montenegro,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,Serbia,,,,24.0,19.0,15.0,37.0,42.0,46.0,60.0,141.0,108.0,110.0,111.0
,,,Serbia and Montenegro,,,24.0,,,,,,,,,,,
,,,The FYR of Macedonia,,,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,CIS,,,,7490.00001,7982.0,9969.0,13992.00002,17560.0,21278.00002,21521.00002,27261.00002,30406.0,20057.00001,24193.00001,26387.0
,,,Armenia,,,,,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
,,,Azerbaijan,,,1019.0,1703.0,2006.0,2788.0,3002.0,4166.0,5480.0,..,1442.0,..,..,
,,,Belarus,,,6.0,,,..,13.0,14.0,16.0,17.0,10.0,10.0,10.0,10.0
,,,Kazakhstan,,,5246.0,4502.0,4935.0,4754.0,4565.0,5187.0,..,6548.0,7501.0,9314.0,11755.0,11392.0
,,,Kyrgyzstan,,,2.0,2.0,2.0,2.0,2.0,2.0,,,12.0,12.0,12.0,12.0
,,,"Moldova, Republic of",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0
,,,Russian Federation,,,883.0,1135.0,2511.0,6088.0,9363.0,11371.0,15029.0,19777.0,20763.0,10040.0,11658.0,14066.0
,,,Ukraine,,,168.0,198.0,238.0,295.0,397.0,536.0,991.0,912.0,616.0,616.0,690.0,840.0
,,,Uzbekistan,,,99.0,91.0,77.0,..,135.0,..,..,..,55.0,58.0,63.0,71.0
,,Georgia,,,,..,350.0,62.0,65.0,82.0,..,2.0,3.0,1.0,1.0,1.0,1.0
,Unspecified,,,,,520.99985,200.0,194.0,358.0,-113.0,886.0,7239.0,8285.0,1542.0,2347.0,2904.0,-231.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the Bureau of Economic Analysis, United States Department of Commerce.",,,,,,,,,,,,,,,,,
