Czech Republic,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Romania,,0.778572740561,2.42587186888,5.09992023856,10.570076736,88.4369102814,30.5742958421,402.028155769,637.983562494,1417.70198171,781.908218228,704.251454363,609.563014566
,,,,Slovakia,,269.990610751,531.712201836,687.010450386,835.186853288,907.708701434,1593.73471929,1950.49701294,2077.21777112,2252.22147213,2206.68433684,2158.89237713,2233.74498628
,,,,Slovenia,,2.7664210265,71.0991307521,83.0941568566,109.55220389,83.3817793232,90.2236539567,6.12645204115,5.50925255867,,-23.9291237801,5.66228686058,2.63880092886
,,,,Spain,,1.24177666235,1.45764321025,1.93099914243,0.893170131903,3.86419716935,5.45176278981,6.39246598075,11.6453013543,16.0523192509,2.38653938457,18.0042627884,29.0268102174
,,,,Sweden,,,,0.731761518672,0.59941873463,,45.7406112282,102.517424494,,,72.131193003,,
,,,,United Kingdom,,16.8966877189,24.2851454829,73.4732025025,85.1541432148,82.1362697251,74.3215175321,91.3978316185,59.8497363796,45.9493684669,110.963788598,122.240170512,150.411652945
,,,Other developed Europe,,,237.241362502,320.908294172,305.0367519,333.084005211,295.051029079,353.691511784,122.87913486,161.756073607,165.9821973,51.0376513253,89.275225677,89.7192315812
,,,,Gibraltar,,,,88.0112107274,48.1541247485,43.8005124451,,,87.4533236845,87.4532883275,,,
,,,,Guernsey,,6.76982266472,,,,,,,,,,12.6880641926,
,,,,Jersey,,,,..,..,,,20.557417856,,,,,
,,,,Liechtenstein,,229.874596652,292.378321887,171.764676074,227.145450481,181.573796161,225.103995018,40.4662573294,37.7493021813,50.5004355401,28.7540397845,50.6301905717,
,,,,Norway,,-3.10631291541,-7.39169237915,,..,,,,,,,,
,,,,Switzerland,,3.63320968587,35.8302872831,45.1353665705,57.7733159401,69.6767204734,128.572427668,61.7891359664,36.5399048899,28.0050087108,22.2836115407,25.9269809428,30.3462106819
,,North America,,,,10.2577234066,17.5637050197,31.5714377875,24.3458005813,18.509110135,30.295075685,33.3434561345,14.7770081671,14.3869229094,34.8894458962,28.7799398195,50.1372176483
,,,Canada,,,,-1.08005706513,-3.60364855383,2.02693941426,,-2.71991760874,-2.28935722978,1.00341155794,,0.516079142446,4.31920762287,
,,,United States,,,10.0495819796,18.6437620849,35.1750863413,22.318861167,19.3949855621,33.0149932937,35.6328133643,13.7735966091,14.3869229094,34.3733667538,24.4607321966,50.1372176483
,,Other developed countries,,,,,,2.1212686583,2.7160695104,,,,,,,-2.67427281846,
,,,Australia,,,,,2.1212286583,2.7160295104,,,,,,,,
,,,Japan,,,..,..,..,..,,,,,,,-2.70125376128,
,Developing economies,,,,,332.058782913,92.6074597916,187.698780376,516.17718647,531.038900818,123.024717379,136.464874433,171.707433061,267.979965157,403.306490321,280.65336008,476.303567659
,,Africa,,,,,,3.30716563967,,,,,,1.27172256098,,,
,,,North Africa,,,..,,,,,,,,1.27172256098,,,
,,,,Tunisia,,..,..,..,..,,,,,1.27172256098,,,
,,,Other Africa,,,,,3.18520650581,,,,,,,,,
,,,,Sierra Leone,,..,..,3.18285861854,..,,,,,,,,
,,Asia,,,,224.11278501,59.4189948293,100.96237292,377.291659548,348.298824358,37.1379095612,71.4434671977,138.269668148,261.055531359,293.612127353,169.175476429,484.219970445
,,,East Asia,,,17.3188374685,15.3318059666,16.9746710696,48.6200211022,9.89198931694,12.2055949416,10.2997566102,11.1810193322,11.8369446864,19.2932110287,14.3506018054,36.943213004
,,,,China,,3.6106674205,2.209237517,2.0836213456,8.59196651017,6.86638333028,12.1897873156,11.1917800642,11.6894448465,11.4822517422,19.2932110287,13.9057673019,36.943213004
,,,,"Hong Kong, China",,13.689579139,13.1225284496,14.616013877,39.5758001341,2.85692207581,,,,,,,
,,,,Mongolia,,,..,,,,,-0.911549950216,-0.552569006513,,,,
,,,South-East Asia,,,2.19973429411,,,,,,,-1.66359971053,10.3243140244,,,
,,,,Singapore,,2.27118999421,,,,,,,,,,,
,,,,Viet Nam,,..,..,..,..,,,,-1.46624625246,10.3646014808,,,
,,,South Asia,,,1.55646943324,,-8.60109023622,7.55956750727,17.5151805759,23.5914447212,60.6889589556,44.9104724491,28.4171929443,37.5433843528,37.9924272818,46.179016255
,,,,India,,1.41033398604,,-8.7058112575,8.83918086296,16.3915836994,23.5914447212,59.7150680385,44.9104724491,28.4171929443,37.5433843528,37.9924272818,46.179016255
,,,,"Iran, Islamic Republic of",,,,,-1.27963335569,1.12359687653,,0.973890917137,,,,,
,,,West Asia,,,203.037746572,44.0671293935,92.6855760123,321.288650613,320.823287783,0.823385706074,,83.8417760777,210.477079704,219.733560877,108.159478435,257.283090564
,,,,Turkey,,..,..,,..,,,0.875484013718,80.5727799028,209.404344512,224.294704282,107.8388666,257.283090564
,,,,United Arab Emirates,,203.035905568,44.0646926114,92.5127465502,320.765213503,320.823287783,,,3.26899617492,1.07273519164,,,
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,Latin America and the Caribbean,,,,107.847770675,33.0084481441,83.4292133757,138.688810901,182.737636245,85.8868078176,64.6863037947,32.9547710121,5.65271123693,109.694362967,111.51218656,-7.91640278657
,,,South America,,,3.07688308475,1.695170639,35.9031530218,1.10695848871,-0.636606474703,0.625455068021,-1.14315742892,2.28517523002,2.41289198606,3.93232360941,9.07662988967,
,,,,Argentina,,-0.523577318735,,,..,,0.742814715463,,,,,0.903159478435,
,,,,Brazil,,2.26780220083,0.601327427756,34.8847743042,,-1.06449812917,-0.684949223989,-1.47815023786,1.02295048072,1.33917682927,,7.44317953862,
,,,,Chile,,,,,,,,,,,,-0.573169508526,
,,,,Peru,,1.14305413828,1.14783849242,0.963592422234,0.918980549966,,,0.694545856843,,,,,
,,,,Suriname,,..,..,..,..,,,,,,,1.30346038114,
,,,Central America,,,1.7680086373,1.28097968946,3.99281332658,,,,1.73536895674,3.41160963507,,3.12463335289,8.84027081244,
,,,,Costa Rica,,1.16510383629,,3.90317299446,,,,,,,,1.41053159478,
,,,,Mexico,,0.602884801015,1.03498244916,,,,,1.73536895674,3.41160963507,,3.12463335289,7.42973921765,
,,,Caribbean,,,103.002881987,30.0323017969,43.533251705,137.393552958,183.501751342,85.7454972217,64.0940922668,27.257986147,3.23981925087,102.637406005,93.5952858576,
,,,,British Virgin Islands,,102.946818307,106.685438439,114.666738131,87.8316789627,129.900523101,75.7167081816,64.0940922668,27.257986147,,,,
,,,,Cayman Islands,,,-76.6531966424,-71.1335464255,49.5618139951,53.6012282414,,,,,,,
,Transition economies,,,,,34.6668561425,25.9759080203,57.6425237943,161.577973897,219.04263714,244.718049435,316.345392189,306.387056756,431.667791812,257.249266706,363.42778335,222.978678488
,,South-East Europe,,,,3.17890946524,3.25103015826,3.77938411164,5.24954325956,4.49440275744,4.19577505269,18.585352362,17.348857645,155.124945557,82.1779105114,51.269558676,
,,,Albania,,,,,,,,,,,142.674433798,62.9348834729,30.0689067202,
,,,Bosnia and Herzegovina,,,1.16729303897,1.21579575993,0.78997310361,1.93485736642,1.96505510818,2.51389155011,4.76811594203,4.52139977256,1.76121515679,1.25065329849,1.63791374122,
,,,Serbia,,,,,,,,,11.1665007191,10.4788069885,10.6892966028,17.9923737401,18.1430290873,
,,,Serbia and Montenegro,,,2.01161642627,2.03523439833,2.98941100803,3.31468589314,2.52934764926,1.68188350259,,,,,,
,,,The FYR of Macedonia,,,,,,,,,2.65073570085,2.3486508839,,,1.41970912738,
,,CIS,,,,31.4879466772,22.724877862,53.8631396827,156.328430638,214.548234383,240.522274382,297.760039827,289.038199111,276.542846254,175.071356194,312.158224674,222.978678488
,,,Belarus,,,1.71187655479,1.10219368966,,..,1.42217894908,4.70890017245,10.6613563447,15.0808435852,11.7149934669,12.5362913978,11.5079237713,
,,,Kazakhstan,,,2.89770126038,2.56875020736,4.28895786232,,-1.66634878803,12.4333205595,7.35136630158,9.98728419311,9.06821646341,,8.89187562688,
,,,Russian Federation,,,9.0410722855,3.13589515942,40.7957861074,136.926742692,197.023149748,197.689595708,251.382675075,230.629639202,171.587271341,91.0069862941,111.627582748,222.978678488
,,,Ukraine,,,12.2511425798,13.7372653197,1.89114492867,16.296457903,15.0555144379,24.4984671393,33.7989268724,13.3414142458,23.0757295296,27.4632286278,21.3651454363,
,,,Uzbekistan,,,2.98774290521,1.87386045586,6.35033764715,3.04491965124,2.69312022125,0.734767196781,,,,,,
,,Georgia,,,,2.42177114647,..,,,,,-5.45126673305,19.7736482994,61.1111716028,44.0648498747,158.677331996,
,Unspecified,,,,,..,..,..,..,,77.8883885802,0.52417302799,0.577897239738,,100.609780812,,-135.898247836
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the Czech National Bank.",,,,,,,,,,,,,,,,,
